bookTitle,authorName,price,isbnno,nop,publication
Pride and Prejudice,Jane Austen,399,9780141439518,432,Penguin Classics
1984,George Orwell,299,9780451524935,328,Signet Classics
Animal Farm,George Orwell,199,9780451526342,112,Signet Classics
To Kill a Mockingbird,Harper Lee,499,9780061120084,336,Harper Perennial
The Great Gatsby,F. Scott Fitzgerald,249,9780743273565,180,Scribner
The Catcher in the Rye,J. D. Salinger,399,9780316769488,277,"Little, Brown"
Jane Eyre,Charlotte Brontë,349,9780141441146,532,Penguin Classics
Wuthering Heights,Emily Brontë,299,9780141439556,416,Penguin Classics
Little Women,Louisa May Alcott,399,9780147514011,528,Puffin Classics
The Hobbit,J. R. R. Tolkien,499,9780547928227,310,Mariner Books
The Lord of the Rings,J. R. R. Tolkien,899,9780544003415,1178,Mariner Books
Harry Potter and the Philosopher's Stone,J. K. Rowling,499,9781408855652,352,Bloomsbury
The Alchemist,Paulo Coelho,299,9780062315007,208,HarperOne
The Kite Runner,Khaled Hosseini,399,9781594631931,371,Riverhead Books
The Book Thief,Markus Zusak,449,9780375842207,584,Knopf Books
The Da Vinci Code,Dan Brown,499,9780307474278,489,Anchor
The Chronicles of Narnia,C. S. Lewis,599,9780064404990,767,HarperCollins
The Little Prince,Antoine de Saint-Exupéry,199,9780156012195,96,Mariner Books
The Picture of Dorian Gray,Oscar Wilde,249,9780141439570,320,Penguin Classics
The Old Man and the Sea,Ernest Hemingway,199,9780684830490,96,Scribner
A Tale of Two Cities,Charles Dickens,299,9780141439600,544,Penguin Classics
Great Expectations,Charles Dickens,349,9780141439563,544,Penguin Classics
David Copperfield,Charles Dickens,399,9780140439441,882,Penguin Classics
Oliver Twist,Charles Dickens,299,9780140439298,608,Penguin Classics
The Adventures of Sherlock Holmes,Arthur Conan Doyle,249,9780141034359,336,Penguin Classics
Dracula,Bram Stoker,299,9780141439846,488,Penguin Classics
Frankenstein,Mary Shelley,249,9780141439471,288,Penguin Classics
The Odyssey,Homer,349,9780140268867,560,Penguin Classics
The Iliad,Homer,399,9780140275360,720,Penguin Classics
Don Quixote,Miguel de Cervantes,499,9780060934347,992,Harper Perennial
The Count of Monte Cristo,Alexandre Dumas,449,9780140449266,1276,Penguin Classics
Les Misérables,Victor Hugo,499,9780451419439,1463,Signet Classics
War and Peace,Leo Tolstoy,599,9780199232765,1392,Oxford World's Classics
Anna Karenina,Leo Tolstoy,449,9780143035008,864,Penguin Classics
Crime and Punishment,Fyodor Dostoevsky,299,9780143058144,671,Penguin Classics
The Brothers Karamazov,Fyodor Dostoevsky,399,9780374528379,824,Farrar Straus Giroux
The Metamorphosis,Franz Kafka,199,9780553213690,96,Bantam Classics
The Trial,Franz Kafka,299,9780805209990,255,Schocken
One Hundred Years of Solitude,Gabriel García Márquez,499,9780060883287,417,Harper Perennial
Love in the Time of Cholera,Gabriel García Márquez,449,9780307389732,368,Vintage
The Stranger,Albert Camus,249,9780679720201,123,Vintage
The Plague,Albert Camus,299,9780679720218,308,Vintage
The Master and Margarita,Mikhail Bulgakov,399,9780141180144,384,Penguin Classics
Brave New World,Aldous Huxley,299,9780060850524,268,Harper Perennial
Fahrenheit 451,Ray Bradbury,299,9781451678182,249,Simon & Schuster
The Grapes of Wrath,John Steinbeck,399,9780143039433,528,Penguin Classics
Of Mice and Men,John Steinbeck,249,9780140177398,107,Penguin Classics
East of Eden,John Steinbeck,449,9780142000656,601,Penguin Classics
The Road,Cormac McCarthy,399,9780307386458,287,Vintage
The Handmaid's Tale,Margaret Atwood,399,9780385490818,311,Anchor
The Hunger Games,Suzanne Collins,399,9780439023481,374,Scholastic Press
The Fault in Our Stars,John Green,299,9780062024039,313,Dutton Books
The Perks of Being a Wallflower,Stephen Chbosky,299,9781451696196,224,MTV Books
The Giver,Lois Lowry,249,9780544336261,240,Houghton Mifflin
The Outsiders,S. E. Hinton,249,9780142407332,192,Puffin Books
The Secret Garden,Frances Hodgson Burnett,249,9780064401883,331,HarperCollins
The Wind in the Willows,Kenneth Grahame,249,9780142437333,256,Penguin Classics
Alice's Adventures in Wonderland,Lewis Carroll,199,9780141439761,128,Penguin Classics
Through the Looking-Glass,Lewis Carroll,199,9780140433661,208,Penguin Classics
Peter Pan,J. M. Barrie,249,9780142437942,224,Penguin Classics
